F3,F1,Fz,F2,F4,FFC5h,FFC3h,FFC1h,FFC2h,FFC4h,FFC6h,FC5,FC3,FC1,FCz,FC2,FC4,FC6,FTT7h,FCC5h,FCC3h,FCC6h,FTT8h,C5,C3,C1,Cz,C2,C4,C6,TTP7h,CCP5h,CCP3h,CCP1h,CCP2h,CCP4h,CCP6h,TTP8h,CP5,CP3,CP1,CPz,CPP5h,CPP3h,CPP1h,CPP2h,CPP4h,CPP6h,P3,P1,Pz,P2,P4,PPO1h,PPO2h
-21.96613095,-17.49945151,-16.01743263,-9.870302637,-14.134046,-17.63307969,-10.63426038,-12.07975073,-6.441916841,-4.824245982,-2.195688807,-14.58575336,-15.13259641,-7.012199747,-5.461810014,-4.726880924,-2.012774916,-1.492884104,-13.22620398,-7.0031159,-2.941290951,-3.0271625,-0.828615534,4.345843408,-6.459346198,-2.688003679,2.179385303,-1.497778995,-1.1973005,-2.774278838,-3.236768333,-7.303468459,-0.623731614,0.246831049,3.90322489,-1.551232618,-40.59980072,5.251970331,-3.229681014,0.07734995,2.068801894,2.993378822,-2.029195739,2.816594645,6.25186478,4.346528676,-0.553388528,-1.260478351,1.717726987,4.002930281,7.975060673,3.686001746,1.647126899,8.643776368,3.271737455
-21.83898584,-18.17663359,-16.73672255,-10.3376991,-13.44985647,-17.12081465,-11.04040665,-12.77563412,-7.16226288,-5.720690594,-2.644912477,-13.99120075,-15.45590003,-7.343373883,-6.072778148,-5.438553653,-2.12397689,-2.111850637,-11.80285399,-5.269543314,-2.725791968,-3.521223047,-1.854131471,8.587377814,-5.682027399,-2.573959617,1.947315695,-2.116631466,-1.710085923,-3.54016651,-1.060049633,-6.386774937,0.026035531,0.204418731,3.830018943,-1.932754577,-41.89840755,3.579580151,-1.297008622,0.666802896,2.087298613,3.342399384,-1.156601623,2.645680421,6.523418256,4.849612828,-0.421977583,-0.97949078,2.247461303,4.190112231,7.678076591,3.887451416,1.814911225,8.635304773,3.136851758
-22.03775097,-19.12532508,-17.826182,-10.8571817,-12.74296104,-16.87441713,-11.60248501,-13.65037593,-7.757806011,-6.566947563,-2.971028749,-13.68649553,-16.00030164,-7.768077829,-6.644416411,-6.10720061,-2.280074511,-2.312735573,-10.41476871,-3.755626091,-2.768985904,-3.803717148,-2.422901449,12.33237221,-4.855938795,-2.426501617,1.669854116,-2.761432879,-1.982275378,-3.962925226,-0.225153154,-5.605660852,0.435850006,0.094966748,3.885790647,-2.10152849,-43.7527665,1.983312056,-0.122714494,0.959983347,1.983332364,3.681644922,-0.754377318,2.249825326,6.566926419,5.179950435,-0.458542904,-0.928160524,2.016309668,3.900106434,6.969768513,3.844877093,1.685403403,8.149153708,2.436019915
-22.54765239,-20.13722802,-19.00872657,-11.23854446,-12.01037249,-16.92129569,-12.14922174,-14.47142875,-7.992565534,-7.10257065,-2.982615889,-13.67666297,-16.56887227,-8.108218727,-6.926537973,-6.458871413,-2.357312526,-2.00008328,-9.223453073,-2.777022064,-2.926519826,-3.649024302,-2.351863732,15.50382952,-4.042633437,-2.087008012,1.51832797,-3.205408935,-1.822511024,-3.677948465,-0.392966879,-4.947052019,0.651634524,0.031893526,4.144640769,-1.905413364,-46.12473445,0.517241962,0.25184286,1.034148831,1.857610308,4.04438599,-0.687366268,1.858581981,6.43163256,5.409900983,-0.449246743,-1.033483892,1.244025319,3.317269459,6.035347218,3.606301493,1.323132842,7.34212794,1.349550829
-23.19267952,-20.90349741,-19.91841013,-11.29128847,-11.29861563,-17.15893016,-12.44104829,-14.95035227,-7.662352102,-7.107131667,-2.580247685,-13.85394226,-16.88612709,-8.121281357,-6.69210698,-6.25260116,-2.209312348,-1.190316339,-8.388357797,-2.470166571,-2.995448853,-2.935359551,-1.62899347,17.97141008,-3.272224679,-1.414450238,1.670765567,-3.203586453,-1.117741987,-2.514890203,-1.024126863,-4.330147526,0.809479055,0.144877129,4.685070133,-1.220705635,-48.7258837,-0.819181343,-0.013701175,1.012276678,1.826317297,4.499839026,-0.739073439,1.680650403,6.225440136,5.664714262,-0.14357954,-1.108584951,0.283016924,2.724278783,5.124880091,3.300352792,0.886575104,6.41537587,0.163336427
-23.66615415,-21.08711864,-20.18944323,-10.86876503,-10.70327889,-17.36934301,-12.21745681,-14.79889701,-6.644088982,-6.45636939,-1.788350104,-14.01657893,-16.66364893,-7.555174452,-5.791834326,-5.340861564,-1.720981196,-0.019173989,-7.992849071,-2.734833815,-2.761440922,-1.717768727,-0.419647308,19.57085839,-2.517296699,-0.323774237,2.278301849,-2.556765344,0.117586324,-0.616023709,-1.608913036,-3.630530738,1.107270857,0.553154336,5.581833793,0.010854405,-51.33209188,-1.983593103,-0.621649886,1.038612409,1.996504249,5.134506569,-0.668801817,1.860915857,6.0981565,6.087104275,0.659166643,-0.913571532,-0.477259492,2.42016219,4.493026894,3.109071274,0.593750649,5.577182512,-0.806175172
-23.61781014,-20.42435594,-19.56208458,-9.91462408,-10.34383616,-17.27773098,-11.26536441,-13.80331178,-4.934993381,-5.164190475,-0.750696235,-13.91830499,-15.67616067,-6.222492955,-4.199507644,-3.71571917,-0.860513679,1.283448787,-7.971673497,-3.254527827,-2.045666965,-0.228877969,0.976741431,20.19656094,-1.678396522,1.195286316,3.438458956,-1.168847065,1.740193322,1.592300443,-1.836201129,-2.710739656,1.755393323,1.347432761,6.894317134,1.761047388,-53.31195908,-2.819725139,-1.212450365,1.260710147,2.453609433,6.037210292,-0.273292299,2.458526694,6.200649522,6.78928277,2.034415319,-0.240440375,-0.719350901,2.630014436,4.331807254,3.211576362,0.662613879,5.009760169,-1.294807113
-22.7672376,-18.81187347,-17.96408986,-8.48348647,-10.31138344,-16.64789406,-9.488650205,-11.89437168,-2.664472162,-3.387642508,0.318963333,-13.34540198,-13.82686771,-4.070683728,-2.025447209,-1.517602101,0.28987818,2.437995599,-8.092297009,-3.598954429,-0.746869899,1.194083865,2.204984762,19.91254323,-0.603770985,3.080566429,5.169828287,0.919966668,3.519829968,3.545474761,-1.651693286,-1.458089275,2.911262895,2.574303344,8.636853687,3.90935792,-54.36420056,-3.085139402,-1.454925356,1.804963924,3.248184891,7.271509776,0.565291235,3.451528771,6.645201763,7.81149365,3.902079734,1.013670221,-0.278227432,3.438534344,4.719606529,3.735582598,1.250943,4.84208103,-1.153960612
-21.00199346,-16.34988642,-15.54043962,-6.730691515,-10.60592148,-15.36547475,-6.950461796,-9.1872081,-0.074339662,-1.389958708,1.214272702,-12.1823439,-11.1805754,-1.216508161,0.507499776,0.9997962,1.545820022,3.179010362,-8.016700697,-3.370387696,1.13305983,2.227952928,2.953529294,19.00751678,0.86166247,5.217104516,7.402819466,3.530856006,5.209208514,4.753584867,-1.199618261,0.17583385,4.621933297,4.227665986,10.74746456,6.264255624,-54.32058093,-2.556666795,-1.118988694,2.753941297,4.38308057,8.855458885,1.854917523,4.760245229,7.472803609,9.10352091,6.052327415,2.812817861,0.831598978,4.773216437,5.606359429,4.72050845,2.412493204,5.138855223,-0.38318722
-18.42858309,-13.33547117,-12.6266362,-4.882872879,-11.10804761,-13.4841338,-3.882624835,-5.979685926,2.528684333,0.5225885,1.803653726,-10.45297227,-7.962763001,2.060853804,3.109670083,3.52638622,2.672355044,3.332794655,-7.41314775,-2.341446612,3.486569091,2.68870952,3.049527522,17.95302132,2.814812938,7.468707332,9.987606568,6.382328769,6.621845921,5.007146237,-0.68155035,2.154564294,6.798714027,6.24169758,13.07374357,8.598800662,-52.79877961,-1.157232321,-0.108002812,4.130723306,5.814243224,10.74902631,3.494947516,6.270810065,8.634539904,10.53010631,8.20464161,4.984966052,2.435875023,6.43431086,6.83383728,6.096545565,4.076225469,5.895529917,0.879052864
-15.36346918,-10.19802136,-9.669863947,-3.191639339,-11.6064355,-11.2334378,-0.658194961,-2.704625484,4.833591461,2.072393748,2.064943336,-8.33684207,-4.526403586,5.365961022,5.482847819,5.760354599,3.459077079,2.872593387,-6.090606773,-0.531737936,6.115730759,2.61228428,2.5141426,17.26104093,5.235001267,9.704530497,12.71363154,9.150864612,7.68276472,4.467847651,-0.221336669,4.34514773,9.219621546,8.4910754,15.37952688,10.69253445,-50.0979412,0.940157472,1.523056907,5.879844295,7.450039215,12.84034102,5.29365116,7.852419099,9.997609076,11.90253929,10.08172667,7.264782696,4.257620583,8.157950258,8.18470485,7.708217253,6.058039873,7.040575566,2.409678116
-12.26313319,-7.398639985,-7.122077812,-1.882568305,-11.86860506,-8.969017793,2.278444379,0.156696265,6.581952523,3.069831633,2.072942224,-6.140208549,-1.294373504,8.265715255,7.373077483,7.464181137,3.785307151,1.939187499,-4.108024611,1.793159058,8.759470625,2.248734735,1.558458393,17.27313311,7.950239731,11.80354415,15.33768283,11.53386274,8.433265856,3.614922839,0.197148178,6.523877003,11.56739533,10.79499769,17.37961837,12.37029308,-46.65304376,3.315927032,3.573956372,7.858403203,9.150899758,14.9561666,7.002240491,9.364587491,11.37020108,13.02635963,11.47551127,9.361333603,5.993283139,9.695285299,9.443909952,9.349683401,8.101184592,8.4481606,3.961852815
-9.617807079,-5.329599457,-5.339269627,-1.1119691,-11.73625979,-7.086210228,4.500942812,2.177299536,7.610811456,3.444522201,1.947607974,-4.233045354,1.308429508,10.37599773,8.603571836,8.494894259,3.651796409,0.810481716,-1.801781386,4.197142938,11.12443431,1.969524266,0.519263935,17.9736893,10.64488809,13.6464375,17.61483243,13.30183453,8.98732571,3.0589669,0.696215505,8.408391739,13.49590222,12.92331863,18.79853213,13.52192996,-42.91988759,5.4130096,5.730055851,9.843469006,10.74101841,16.87814856,8.362601147,10.65931453,12.54381486,13.74693624,12.27705381,11.02012851,7.380168174,10.87523339,10.45179367,10.80483893,9.929595283,9.952315124,5.321495246
